"Notes"	"Occurrence State"	"Occurrence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	62	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	60	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	123	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	123	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	120	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	105	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	118	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	111	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	112	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	121	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	136	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	123	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	111	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	127	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional)"	"2023/04"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	"May, 2023 (provisional and partial)"	"2023/05"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Jan., 2018"	"2018/01"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Feb., 2018"	"2018/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Mar., 2018"	"2018/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Apr., 2018"	"2018/04"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"May, 2018"	"2018/05"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Jun., 2018"	"2018/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Jul., 2018"	"2018/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Aug., 2018"	"2018/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Sep., 2018"	"2018/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Oct., 2018"	"2018/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Nov., 2018"	"2018/11"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Dec., 2018"	"2018/12"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Jan., 2019"	"2019/01"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Feb., 2019"	"2019/02"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Mar., 2019"	"2019/03"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Apr., 2019"	"2019/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"May, 2019"	"2019/05"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Jun., 2019"	"2019/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Jul., 2019"	"2019/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Aug., 2019"	"2019/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Sep., 2019"	"2019/09"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Oct., 2019"	"2019/10"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Nov., 2019"	"2019/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Dec., 2019"	"2019/12"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jan., 2020"	"2020/01"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Feb., 2020"	"2020/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Mar., 2020"	"2020/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Apr., 2020"	"2020/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"May, 2020"	"2020/05"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jun., 2020"	"2020/06"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jul., 2020"	"2020/07"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Aug., 2020"	"2020/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Sep., 2020"	"2020/09"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Oct., 2020"	"2020/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Nov., 2020"	"2020/11"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Dec., 2020"	"2020/12"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jan., 2021"	"2021/01"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Feb., 2021"	"2021/02"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Mar., 2021"	"2021/03"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Apr., 2021"	"2021/04"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"May, 2021"	"2021/05"	28	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jun., 2021"	"2021/06"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jul., 2021"	"2021/07"	20	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Aug., 2021"	"2021/08"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Sep., 2021"	"2021/09"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Oct., 2021"	"2021/10"	25	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Nov., 2021"	"2021/11"	25	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Dec., 2021"	"2021/12"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	23	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional)"	"2023/04"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	"May, 2023 (provisional and partial)"	"2023/05"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Jan., 2018"	"2018/01"	129	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Feb., 2018"	"2018/02"	78	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Mar., 2018"	"2018/03"	130	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Apr., 2018"	"2018/04"	112	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"May, 2018"	"2018/05"	121	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Jun., 2018"	"2018/06"	117	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Jul., 2018"	"2018/07"	169	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Aug., 2018"	"2018/08"	144	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Sep., 2018"	"2018/09"	103	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Oct., 2018"	"2018/10"	108	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Nov., 2018"	"2018/11"	124	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Dec., 2018"	"2018/12"	119	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Jan., 2019"	"2019/01"	122	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Feb., 2019"	"2019/02"	104	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Mar., 2019"	"2019/03"	131	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Apr., 2019"	"2019/04"	121	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"May, 2019"	"2019/05"	135	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Jun., 2019"	"2019/06"	125	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Jul., 2019"	"2019/07"	205	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Aug., 2019"	"2019/08"	153	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Sep., 2019"	"2019/09"	168	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Oct., 2019"	"2019/10"	153	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Nov., 2019"	"2019/11"	143	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Dec., 2019"	"2019/12"	149	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Jan., 2020"	"2020/01"	161	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Feb., 2020"	"2020/02"	147	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Mar., 2020"	"2020/03"	173	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Apr., 2020"	"2020/04"	156	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"May, 2020"	"2020/05"	208	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Jun., 2020"	"2020/06"	258	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Jul., 2020"	"2020/07"	296	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Aug., 2020"	"2020/08"	262	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Sep., 2020"	"2020/09"	172	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Oct., 2020"	"2020/10"	175	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Nov., 2020"	"2020/11"	172	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Dec., 2020"	"2020/12"	159	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Jan., 2021"	"2021/01"	199	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Feb., 2021"	"2021/02"	163	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Mar., 2021"	"2021/03"	200	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Apr., 2021"	"2021/04"	192	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"May, 2021"	"2021/05"	242	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Jun., 2021"	"2021/06"	237	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Jul., 2021"	"2021/07"	261	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Aug., 2021"	"2021/08"	262	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Sep., 2021"	"2021/09"	204	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Oct., 2021"	"2021/10"	197	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Nov., 2021"	"2021/11"	167	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Dec., 2021"	"2021/12"	203	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	178	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	165	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	188	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	179	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	185	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	219	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	336	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	223	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	193	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	192	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	29	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional)"	"2023/04"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	"May, 2023 (provisional and partial)"	"2023/05"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Jan., 2018"	"2018/01"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Feb., 2018"	"2018/02"	17	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Mar., 2018"	"2018/03"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Apr., 2018"	"2018/04"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"May, 2018"	"2018/05"	41	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Jun., 2018"	"2018/06"	36	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Jul., 2018"	"2018/07"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Aug., 2018"	"2018/08"	36	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Sep., 2018"	"2018/09"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Oct., 2018"	"2018/10"	24	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Nov., 2018"	"2018/11"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Dec., 2018"	"2018/12"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Jan., 2019"	"2019/01"	37	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Feb., 2019"	"2019/02"	28	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Mar., 2019"	"2019/03"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Apr., 2019"	"2019/04"	26	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"May, 2019"	"2019/05"	28	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Jun., 2019"	"2019/06"	19	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Jul., 2019"	"2019/07"	23	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Aug., 2019"	"2019/08"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Sep., 2019"	"2019/09"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Oct., 2019"	"2019/10"	23	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Nov., 2019"	"2019/11"	26	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Dec., 2019"	"2019/12"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Jan., 2020"	"2020/01"	42	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Feb., 2020"	"2020/02"	28	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Mar., 2020"	"2020/03"	39	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Apr., 2020"	"2020/04"	41	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"May, 2020"	"2020/05"	37	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Jun., 2020"	"2020/06"	41	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Jul., 2020"	"2020/07"	40	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Aug., 2020"	"2020/08"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Sep., 2020"	"2020/09"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Oct., 2020"	"2020/10"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Nov., 2020"	"2020/11"	35	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Dec., 2020"	"2020/12"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Jan., 2021"	"2021/01"	41	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Feb., 2021"	"2021/02"	40	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Mar., 2021"	"2021/03"	48	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Apr., 2021"	"2021/04"	43	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"May, 2021"	"2021/05"	56	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Jun., 2021"	"2021/06"	49	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Jul., 2021"	"2021/07"	31	Not Applicable	Not Applicable
